Indicator Category,Indicator,Year,Sex,Race/Ethnicity,Value,Place,BCHC Requested Methodology,Source,Methods,Notes,90% Confidence Level - Low,90% Confidence Level - High,95% Confidence Level - Low,95% Confidence Level - High
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Male,All,20.7,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS). The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",,,,,19.1,22.5
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Female,All,9.9,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,7.2,12.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Female,All,19.1,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Colorado BRFSS,Colorado BRFSS,,,,15.1,23.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,White,31.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Washington State Department of Health, Center for Health Statistics, Behavioral Risk Factor Surveillance System, ",,,,,26.5,35.9
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,White,14.8,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,11.5,18.1
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,Other,13.7,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,2.3,25.1
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,Hispanic,16.2,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,10.4,22.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,Black,17.0,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,8.5,25.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,Asian/PI,10.5,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,0.2,20.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,All,14.7,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,12.1,17.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Male,All,16.7,"Indianapolis (Marion County), IN",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC Behavioral Risk Factor Surveillance System (BRFSS) data,,,,,13.1,20.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Female,All,9.7,"Indianapolis (Marion County), IN",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC Behavioral Risk Factor Surveillance System (BRFSS) data,,,,,6.9,12.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,All,23.7,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Colorado BRFSS,Colorado BRFSS,,,,20.7,26.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,All,23.9,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,18.4,29.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,Asian/PI,15.4,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,7.8,23.1
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,Black,,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed here because CHIS reports rate as statistically unstable.; Data is for Alameda County. ",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,Hispanic,,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed here because CHIS reports rate as statistically unstable.; Data is for Alameda County. ",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,Other,,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed here because CHIS reports rate as statistically unstable.; Data is for Alameda County. ",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,White,43.3,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,31.4,55.2
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Female,All,20.4,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,11.5,29.3
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Male,All,27.3,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,19.4,35.1
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Both,All,26.5,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Washington State Department of Health, Center for Health Statistics, Behavioral Risk Factor Surveillance System, ",,,,,22.7,30.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Female,All,17.6,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,,,,16.8,18.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Male,All,32.8,"U.S. Total, U.S. Total",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Binge drinking in past month, Adults (percent, 18+ years), National Survey on Drug Use and Health (NSDUH), SAMHSA",,,,,31.8,33.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2014,Male,All,20.7,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2014 NC BRFSS (Mecklenburg Sample),,,,,14.3,27.1
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Male,All,36.9,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Colorado BRFSS,Colorado BRFSS,,,,29.1,44.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,All,12.9,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS survery data,,Bexar County level data,,,9.6,17.2
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Black,,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS survery data,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.; Bexar County level data",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Hispanic,15.3,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS survery data,,Bexar County level data,,,10.6,21.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Other,,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS survery data,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.; Bexar County level data",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,White,9.1,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS survery data,,Bexar County level data,,,5.3,15.3
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Female,All,8.7,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS survery data,,Bexar County level data,,,5.4,13.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Male,All,17.7,"San Antonio, TX",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS survery data,,Bexar County level data,,,12.1,25.1
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Asian/PI,13.4,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,0.6,26.2
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,All,13.9,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,10.9,16.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Female,All,14.8,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Colorado BRFSS,Colorado BRFSS,,,,9.1,20.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,White,23.9,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS). The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",,,,,21.6,26.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Female,All,12.8,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS). The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",,,,,11.5,14.2
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Male,All,22.3,"New York City, NY",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"NYC DOHMH Community Health Survey (CHS). The CHS is a cross-sectional telephone survey of adults aged 18 and older from all five boroughs of New York City. Data are collected from selected respondents with landline telephones and cell phones (since 2009). Interviews are conducted in English, Spanish, Russian, and Chinese (Mandarin and Cantonese). All data collected are self-reported. Data are weighted to the NYC adult population.",,,,,20.6,24.1
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Black,,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"California Behavioral Risk Factor Survey Workgroup, Public Health Survey Research Program, California State University, Sacramento, CA Dept. of Public Health. BRFSS Data. 2015.","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)","Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates are suppressed here because they're statistically unstable.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Black,18.2,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, 2015, Boston Public Health Commission",,This survey is conducted every other year.,,,14.1,22.3
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Hispanic,18.1,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"California Behavioral Risk Factor Survey Workgroup, Public Health Survey Research Program, California State University, Sacramento, CA Dept. of Public Health. BRFSS Data. 2015.","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",,,,13.5,22.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Other,,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"California Behavioral Risk Factor Survey Workgroup, Public Health Survey Research Program, California State University, Sacramento, CA Dept. of Public Health. BRFSS Data. 2015.","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)","Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Rates are suppressed here because they're statistically unstable.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,White,17.8,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"California Behavioral Risk Factor Survey Workgroup, Public Health Survey Research Program, California State University, Sacramento, CA Dept. of Public Health. BRFSS Data. 2015.","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",,,,14.1,21.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,White,32.8,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Colorado BRFSS,Colorado BRFSS,,,,25.9,39.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Other,10.1,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Colorado BRFSS,,Includes Asian/PI,,,0.0,22.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Female,All,7.9,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,5.1,10.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Male,All,20.1,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,14.9,25.2
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Male,All,28.1,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,17.1,39.1
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Female,All,18.7,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,11.0,26.5
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,White,28.2,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,19.0,37.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Other,,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Hispanic,,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Black,18.7,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,6.5,30.9
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,All,23.3,"Columbus, OH",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,BRFSS,,,,,16.5,30.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Female,All,11.4,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"California Behavioral Risk Factor Survey Workgroup, Public Health Survey Research Program, California State University, Sacramento, CA Dept. of Public Health. BRFSS Data. 2015.","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",,,,8.1,14.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Other,,"Indianapolis (Marion County), IN",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,CDC Behavioral Risk Factor Surveillance System (BRFSS) data,,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. The reasons cities have suppressed data vary by indicator.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Hispanic,17.6,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Colorado BRFSS,Colorado BRFSS,,,,7.9,27.3
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Black,27.6,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Colorado BRFSS,Colorado BRFSS,,,,7.7,47.6
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Asian/PI,,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Colorado BRFSS,Colorado BRFSS,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals.",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Asian/PI,9.0,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, 2015, Boston Public Health Commission",,This survey is conducted every other year.,,,4.3,13.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Male,All,20.8,"San Diego County, CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"California Behavioral Risk Factor Survey Workgroup, Public Health Survey Research Program, California State University, Sacramento, CA Dept. of Public Health. BRFSS Data. 2015.","Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",,,,16.9,24.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,All,24.2,"Boston, MA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Boston Behavioral Risk Factor Survey, 2015, Boston Public Health Commission",,This survey is conducted every other year.,,,21.7,26.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,All,37.2,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,30.1,44.4
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Asian/PI,,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,"Records where the value is blank in the data table indicate that the data are suppressed due to small counts, inadequate sample size, or unreliable parameter estimates such as relative standard error or confidence intervals. Suppressed here because CHIS reports rate as statistically unstable.; Data is for Alameda County. ",,,,
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Male,All,12.9,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2015 NC BRFSS (Mecklenburg Sample),,,,,7.3,18.5
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Female,All,13.7,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2015 NC BRFSS (Mecklenburg Sample),,,,,8.5,18.9
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,White,16.5,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2015 NC BRFSS (Mecklenburg Sample),,,,,10.3,22.7
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Black,14.2,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2015 NC BRFSS (Mecklenburg Sample),,,,,6.7,21.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,All,14.4,"Charlotte, NC",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,2015 NC BRFSS (Mecklenburg Sample),,,,,10.3,18.5
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Other,19.7,"Las Vegas (Clark County), NV",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Nevada BRFSS - Clark County,,,,,1.6,37.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Black,28.4,"Oakland (Alameda County), CA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,California Health Interview Survey (AskCHIS),Males are considered binge drinkers if they consumed 5 or more alcoholic drinks on at least one occassion in the past year. Females are considered binge drinkers if they consumed 4 or more alcoholic drinks on at least one occasion in the past year.,Binge drinking in the past year.  Data is for Alameda County. ,,,14.0,42.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,All,24.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Washington State Department of Health, Center for Health Statistics, Behavioral Risk Factor Surveillance System, ",,,,,21.1,27.2
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Asian/PI,17.0,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Washington State Department of Health, Center for Health Statistics, Behavioral Risk Factor Surveillance System, ",,,,,10.1,27.2
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Black,22.2,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Washington State Department of Health, Center for Health Statistics, Behavioral Risk Factor Surveillance System, ",,,,,11.3,39.0
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,Hispanic,23.8,"Seattle, WA",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,"Washington State Department of Health, Center for Health Statistics, Behavioral Risk Factor Surveillance System, ",,,,,13.3,38.8
Behavioral Health/Substance Abuse,Percent of Adults Who Binge Drank,2015,Both,All,26.6,"Denver, CO",BRFSS (or similar) How many times during the past month did you have 5 (men) (4 for women) or more drinks on one occasion in past 30 days?,Colorado BRFSS,Colorado BRFSS,,,,21.5,31.8
